"Notes"	"Census Region"	"Census Region Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Atherosclerotic heart disease"	"I25.1"	"2016"	"2016"	37245	56209510	66.3
	"Census Region 1: Northeast"	"CENS-R1"	"Atherosclerotic heart disease"	"I25.1"	"2017"	"2017"	37615	56470581	66.6
	"Census Region 1: Northeast"	"CENS-R1"	"Atherosclerotic heart disease"	"I25.1"	"2018"	"2018"	37682	56111079	67.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aneurysm of heart"	"I25.3"	"2014"	"2014"	14	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aneurysm of heart"	"I25.3"	"2015"	"2015"	17	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aneurysm of heart"	"I25.3"	"2016"	"2016"	19	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aneurysm of heart"	"I25.3"	"2017"	"2017"	12	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aneurysm of heart"	"I25.3"	"2018"	"2018"	12	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Ischaemic cardiomyopathy"	"I25.5"	"2014"	"2014"	1713	56152333	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Ischaemic cardiomyopathy"	"I25.5"	"2015"	"2015"	1755	56283891	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Ischaemic cardiomyopathy"	"I25.5"	"2016"	"2016"	1780	56209510	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"Ischaemic cardiomyopathy"	"I25.5"	"2017"	"2017"	1925	56470581	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"Ischaemic cardiomyopathy"	"I25.5"	"2018"	"2018"	1844	56111079	3.3
	"Census Region 1: Northeast"	"CENS-R1"	"Other forms of chronic ischaemic heart disease"	"I25.8"	"2014"	"2014"	302	56152333	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other forms of chronic ischaemic heart disease"	"I25.8"	"2015"	"2015"	258	56283891	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other forms of chronic ischaemic heart disease"	"I25.8"	"2016"	"2016"	284	56209510	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other forms of chronic ischaemic heart disease"	"I25.8"	"2017"	"2017"	281	56470581	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Other forms of chronic ischaemic heart disease"	"I25.8"	"2018"	"2018"	274	56111079	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	"2014"	"2014"	1569	56152333	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	"2015"	"2015"	1532	56283891	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	"2016"	"2016"	1507	56209510	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	"2017"	"2017"	1538	56470581	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	"2018"	"2018"	1400	56111079	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	"2016"	"2016"	12	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	"2017"	"2017"	10	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	"2018"	"2018"	11	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	"2014"	"2014"	1146	56152333	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	"2015"	"2015"	1284	56283891	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	"2016"	"2016"	1253	56209510	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	"2017"	"2017"	1243	56470581	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	"2018"	"2018"	1299	56111079	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"Primary pulmonary hypertension"	"I27.0"	"2014"	"2014"	36	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Primary pulmonary hypertension"	"I27.0"	"2015"	"2015"	57	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Primary pulmonary hypertension"	"I27.0"	"2016"	"2016"	66	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Primary pulmonary hypertension"	"I27.0"	"2017"	"2017"	54	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Primary pulmonary hypertension"	"I27.0"	"2018"	"2018"	45	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Kyphoscoliotic heart disease"	"I27.1"	"2014"	"2014"	13	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Kyphoscoliotic heart disease"	"I27.1"	"2015"	"2015"	11	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Kyphoscoliotic heart disease"	"I27.1"	"2016"	"2016"	11	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other secondary pulmonary hypertension"	"I27.2"	"2014"	"2014"	1110	56152333	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other secondary pulmonary hypertension"	"I27.2"	"2015"	"2015"	1131	56283891	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other secondary pulmonary hypertension"	"I27.2"	"2016"	"2016"	1206	56209510	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other secondary pulmonary hypertension"	"I27.2"	"2017"	"2017"	1190	56470581	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other secondary pulmonary hypertension"	"I27.2"	"2018"	"2018"	1257	56111079	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified pulmonary heart diseases"	"I27.8"	"2016"	"2016"	10	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary heart disease, unspecified"	"I27.9"	"2014"	"2014"	176	56152333	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary heart disease, unspecified"	"I27.9"	"2015"	"2015"	274	56283891	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary heart disease, unspecified"	"I27.9"	"2016"	"2016"	206	56209510	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary heart disease, unspecified"	"I27.9"	"2017"	"2017"	192	56470581	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Pulmonary heart disease, unspecified"	"I27.9"	"2018"	"2018"	219	56111079	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified diseases of pulmonary vessels"	"I28.8"	"2014"	"2014"	11	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified diseases of pulmonary vessels"	"I28.8"	"2015"	"2015"	12	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified diseases of pulmonary vessels"	"I28.8"	"2017"	"2017"	10	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified diseases of pulmonary vessels"	"I28.8"	"2018"	"2018"	10	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Haemopericardium, not elsewhere classified"	"I31.2"	"2015"	"2015"	11	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pericardial effusion (noninflammatory)"	"I31.3"	"2014"	"2014"	52	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pericardial effusion (noninflammatory)"	"I31.3"	"2015"	"2015"	76	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pericardial effusion (noninflammatory)"	"I31.3"	"2016"	"2016"	70	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pericardial effusion (noninflammatory)"	"I31.3"	"2017"	"2017"	75	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Pericardial effusion (noninflammatory)"	"I31.3"	"2018"	"2018"	84	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Disease of pericardium, unspecified"	"I31.9"	"2014"	"2014"	49	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Disease of pericardium, unspecified"	"I31.9"	"2015"	"2015"	47	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Disease of pericardium, unspecified"	"I31.9"	"2016"	"2016"	47	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Disease of pericardium, unspecified"	"I31.9"	"2017"	"2017"	35	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Disease of pericardium, unspecified"	"I31.9"	"2018"	"2018"	50	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Acute and subacute infective endocarditis"	"I33.0"	"2014"	"2014"	233	56152333	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Acute and subacute infective endocarditis"	"I33.0"	"2015"	"2015"	243	56283891	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Acute and subacute infective endocarditis"	"I33.0"	"2016"	"2016"	254	56209510	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Acute and subacute infective endocarditis"	"I33.0"	"2017"	"2017"	262	56470581	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Acute and subacute infective endocarditis"	"I33.0"	"2018"	"2018"	270	56111079	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Acute endocarditis, unspecified"	"I33.9"	"2015"	"2015"	12	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute endocarditis, unspecified"	"I33.9"	"2017"	"2017"	13	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute endocarditis, unspecified"	"I33.9"	"2018"	"2018"	14	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) insufficiency"	"I34.0"	"2014"	"2014"	399	56152333	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) insufficiency"	"I34.0"	"2015"	"2015"	449	56283891	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) insufficiency"	"I34.0"	"2016"	"2016"	439	56209510	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) insufficiency"	"I34.0"	"2017"	"2017"	449	56470581	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) insufficiency"	"I34.0"	"2018"	"2018"	454	56111079	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) prolapse"	"I34.1"	"2014"	"2014"	39	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) prolapse"	"I34.1"	"2015"	"2015"	38	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) prolapse"	"I34.1"	"2016"	"2016"	33	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) prolapse"	"I34.1"	"2017"	"2017"	38	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Mitral (valve) prolapse"	"I34.1"	"2018"	"2018"	46	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other nonrheumatic mitral valve disorders"	"I34.8"	"2014"	"2014"	13	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other nonrheumatic mitral valve disorders"	"I34.8"	"2015"	"2015"	12	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other nonrheumatic mitral valve disorders"	"I34.8"	"2016"	"2016"	10	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other nonrheumatic mitral valve disorders"	"I34.8"	"2017"	"2017"	12	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other nonrheumatic mitral valve disorders"	"I34.8"	"2018"	"2018"	16	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	"2014"	"2014"	15	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	"2015"	"2015"	16	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	"2016"	"2016"	13	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	"2017"	"2017"	13	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	"2018"	"2018"	18	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis"	"I35.0"	"2014"	"2014"	3366	56152333	6.0
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis"	"I35.0"	"2015"	"2015"	3443	56283891	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis"	"I35.0"	"2016"	"2016"	3354	56209510	6.0
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis"	"I35.0"	"2017"	"2017"	3238	56470581	5.7
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis"	"I35.0"	"2018"	"2018"	3171	56111079	5.7
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) insufficiency"	"I35.1"	"2014"	"2014"	94	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) insufficiency"	"I35.1"	"2015"	"2015"	104	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) insufficiency"	"I35.1"	"2016"	"2016"	95	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) insufficiency"	"I35.1"	"2017"	"2017"	87	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) insufficiency"	"I35.1"	"2018"	"2018"	131	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	"2015"	"2015"	17	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	"2016"	"2016"	18	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	"2017"	"2017"	17	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	"2018"	"2018"	13	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other aortic valve disorders"	"I35.8"	"2014"	"2014"	44	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other aortic valve disorders"	"I35.8"	"2015"	"2015"	41	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other aortic valve disorders"	"I35.8"	"2016"	"2016"	51	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other aortic valve disorders"	"I35.8"	"2017"	"2017"	57	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other aortic valve disorders"	"I35.8"	"2018"	"2018"	54	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic valve disorder, unspecified"	"I35.9"	"2014"	"2014"	354	56152333	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic valve disorder, unspecified"	"I35.9"	"2015"	"2015"	331	56283891	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic valve disorder, unspecified"	"I35.9"	"2016"	"2016"	302	56209510	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic valve disorder, unspecified"	"I35.9"	"2017"	"2017"	285	56470581	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Aortic valve disorder, unspecified"	"I35.9"	"2018"	"2018"	260	56111079	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Nonrheumatic tricuspid (valve) insufficiency"	"I36.1"	"2018"	"2018"	11	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Endocarditis, valve unspecified"	"I38"	"2014"	"2014"	1201	56152333	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Endocarditis, valve unspecified"	"I38"	"2015"	"2015"	1208	56283891	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"Endocarditis, valve unspecified"	"I38"	"2016"	"2016"	1092	56209510	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Endocarditis, valve unspecified"	"I38"	"2017"	"2017"	1157	56470581	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Endocarditis, valve unspecified"	"I38"	"2018"	"2018"	1067	56111079	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Infective myocarditis"	"I40.0"	"2014"	"2014"	35	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Infective myocarditis"	"I40.0"	"2015"	"2015"	28	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Infective myocarditis"	"I40.0"	"2016"	"2016"	30	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Infective myocarditis"	"I40.0"	"2017"	"2017"	26	56470581	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Infective myocarditis"	"I40.0"	"2018"	"2018"	23	56111079	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Acute myocarditis, unspecified"	"I40.9"	"2014"	"2014"	10	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute myocarditis, unspecified"	"I40.9"	"2016"	"2016"	14	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute myocarditis, unspecified"	"I40.9"	"2017"	"2017"	12	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Acute myocarditis, unspecified"	"I40.9"	"2018"	"2018"	10	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Dilated cardiomyopathy"	"I42.0"	"2014"	"2014"	449	56152333	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Dilated cardiomyopathy"	"I42.0"	"2015"	"2015"	475	56283891	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Dilated cardiomyopathy"	"I42.0"	"2016"	"2016"	485	56209510	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Dilated cardiomyopathy"	"I42.0"	"2017"	"2017"	409	56470581	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Dilated cardiomyopathy"	"I42.0"	"2018"	"2018"	421	56111079	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	"2014"	"2014"	24	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	"2015"	"2015"	33	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	"2016"	"2016"	25	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	"2017"	"2017"	32	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	"2018"	"2018"	37	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other hypertrophic cardiomyopathy"	"I42.2"	"2014"	"2014"	162	56152333	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Other hypertrophic cardiomyopathy"	"I42.2"	"2015"	"2015"	156	56283891	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Other hypertrophic cardiomyopathy"	"I42.2"	"2016"	"2016"	159	56209510	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Other hypertrophic cardiomyopathy"	"I42.2"	"2017"	"2017"	139	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other hypertrophic cardiomyopathy"	"I42.2"	"2018"	"2018"	116	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Endocardial fibroelastosis"	"I42.4"	"2018"	"2018"	10	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other restrictive cardiomyopathy"	"I42.5"	"2014"	"2014"	40	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other restrictive cardiomyopathy"	"I42.5"	"2015"	"2015"	42	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other restrictive cardiomyopathy"	"I42.5"	"2016"	"2016"	40	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other restrictive cardiomyopathy"	"I42.5"	"2017"	"2017"	37	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other restrictive cardiomyopathy"	"I42.5"	"2018"	"2018"	47	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Alcoholic cardiomyopathy"	"I42.6"	"2014"	"2014"	84	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Alcoholic cardiomyopathy"	"I42.6"	"2015"	"2015"	98	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Alcoholic cardiomyopathy"	"I42.6"	"2016"	"2016"	90	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Alcoholic cardiomyopathy"	"I42.6"	"2017"	"2017"	99	56470581	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Alcoholic cardiomyopathy"	"I42.6"	"2018"	"2018"	110	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other cardiomyopathies"	"I42.8"	"2014"	"2014"	23	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Other cardiomyopathies"	"I42.8"	"2015"	"2015"	32	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other cardiomyopathies"	"I42.8"	"2016"	"2016"	34	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other cardiomyopathies"	"I42.8"	"2017"	"2017"	40	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Other cardiomyopathies"	"I42.8"	"2018"	"2018"	49	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiomyopathy, unspecified"	"I42.9"	"2014"	"2014"	3215	56152333	5.7
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiomyopathy, unspecified"	"I42.9"	"2015"	"2015"	3303	56283891	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiomyopathy, unspecified"	"I42.9"	"2016"	"2016"	3035	56209510	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiomyopathy, unspecified"	"I42.9"	"2017"	"2017"	2836	56470581	5.0
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiomyopathy, unspecified"	"I42.9"	"2018"	"2018"	2800	56111079	5.0
	"Census Region 1: Northeast"	"CENS-R1"	"Atrioventricular block, complete"	"I44.2"	"2014"	"2014"	89	56152333	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Atrioventricular block, complete"	"I44.2"	"2015"	"2015"	106	56283891	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Atrioventricular block, complete"	"I44.2"	"2016"	"2016"	118	56209510	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Atrioventricular block, complete"	"I44.2"	"2017"	"2017"	146	56470581	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Atrioventricular block, complete"	"I44.2"	"2018"	"2018"	128	56111079	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified atrioventricular block"	"I44.3"	"2014"	"2014"	13	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified atrioventricular block"	"I44.3"	"2015"	"2015"	10	56283891	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified atrioventricular block"	"I44.3"	"2016"	"2016"	13	56209510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified atrioventricular block"	"I44.3"	"2017"	"2017"	14	56470581	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other and unspecified atrioventricular block"	"I44.3"	"2018"	"2018"	18	56111079	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Pre-excitation syndrome"	"I45.6"	"2014"	"2014"	11	56152333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified conduction disorders"	"I45.8"	"2014"	"2014"	250	56152333	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified conduction disorders"	"I45.8"	"2015"	"2015"	218	56283891	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified conduction disorders"	"I45.8"	"2016"	"2016"	242	56209510	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified conduction disorders"	"I45.8"	"2017"	"2017"	239	56470581	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Other specified conduction disorders"	"I45.8"	"2018"	"2018"	280	56111079	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Conduction disorder, unspecified"	"I45.9"	"2014"	"2014"	43	56152333	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Conduction disorder, unspecified"	"I45.9"	"2015"	"2015"	47	56283891	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Conduction disorder, unspecified"	"I45.9"	"2016"	"2016"	34	56209510	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Conduction disorder, unspecified"	"I45.9"	"2017"	"2017"	49	56470581	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Conduction disorder, unspecified"	"I45.9"	"2018"	"2018"	38	56111079	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Sudden cardiac death, so described"	"I46.1"	"2014"	"2014"	318	56152333	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Sudden cardiac death, so described"	"I46.1"	"2015"	"2015"	313	56283891	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Sudden cardiac death, so described"	"I46.1"	"2016"	"2016"	267	56209510	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Sudden cardiac death, so described"	"I46.1"	"2017"	"2017"	308	56470581	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Sudden cardiac death, so described"	"I46.1"	"2018"	"2018"	272	56111079	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiac arrest, unspecified"	"I46.9"	"2014"	"2014"	3274	56152333	5.8
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiac arrest, unspecified"	"I46.9"	"2015"	"2015"	3445	56283891	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiac arrest, unspecified"	"I46.9"	"2016"	"2016"	3534	56209510	6.3
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiac arrest, unspecified"	"I46.9"	"2017"	"2017"	3591	56470581	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"Cardiac arrest, unspecified"	"I46.9"	"2018"	"2018"	3505	56111079	6.2
	"Census Region 1: Northeast"	"CENS-R1"	"Supraventricular tachycardia"	"I47.1"	"2014"	"2014"	21	56152333	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Supraventricular tachycardia"	"I47.1"	"2015"	"2015"	27	56283891	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Supraventricular tachycardia"	"I47.1"	"2016"	"2016"	25	56209510	0.0
	"Census Region 1: Northeast"	"CENS-R1"	"Supraventricular tachycardia"	"I47.1"	"2017"	"2017"	31	56470581	0.1
